vls Analysis Completed with REBATE
Run Time (sec): 329.15070486068726
=== SCORES ===
M0P0	0.2226948001259428	1
M0P1	0.21583363402838351	2
N14	0.004773274045498378	3
N6	0.004696996711568249	4
N2	0.0046203756605078606	5
N13	0.002892162528064612	6
N16	0.002191584487079988	7
N15	0.001917410257574997	8
N9	0.0013227393060084517	9
N3	0.0011895126094310898	10
N12	0.0008011427416549155	11
N10	0.0006436147264659005	12
N7	0.000559298302959136	13
N1	0.0005125199242512676	14
N5	0.0004073964547333088	15
N8	0.00028727417071198373	16
N0	0.0002574315538822871	17
N11	0.00015851723373501488	18
N4	7.389246107206146e-05	19
N17	-8.008670751662289e-05	20
