turf Analysis Completed with REBATE
Run Time (sec): 42.96861124038696
=== SCORES ===
M0P0	0.02435136699630901	1
M0P1	0.024057261530170633	2
N5	-0.004410866604896426	3
N2	-0.012042587449525957	4
N8	-0.01524158324590249	5
N1	-0.015637512748324606	6
N4	-0.015637512748324606	7
N9	-0.015637512748324606	8
N12	-0.015637512748324606	9
N17	-0.015637512748324606	10
N0	-0.01603344225074672	11
N3	-0.01603344225074672	12
N6	-0.01603344225074672	13
N7	-0.01603344225074672	14
N10	-0.01603344225074672	15
N11	-0.01603344225074672	16
N13	-0.01603344225074672	17
N14	-0.01603344225074672	18
N15	-0.01603344225074672	19
N16	-0.01603344225074672	20
