vls Analysis Completed with REBATE
Run Time (sec): 270.21924209594727
=== SCORES ===
M0P0	0.17630905303129224	1
M0P1	0.17105140424954668	2
M1P0	0.16393360387761474	3
M1P1	0.15928446232541532	4
N4	0.0034725135216383857	5
N0	0.002436719373488635	6
N14	0.001716931085730711	7
N13	0.0012669329035187536	8
N2	0.0012466333335905697	9
N10	0.0009954979729366108	10
N15	0.0009192994906735499	11
N11	0.0008930828636781348	12
N1	0.000753040851679304	13
N12	0.0007078435537838644	14
N6	0.0006165183988629627	15
N3	0.0005800519406122041	16
N9	0.0005375628179109732	17
N8	0.00038203780299945567	18
N7	0.00027780715039627397	19
N5	-5.919904538004722e-05	20
