vls Analysis Completed with REBATE
Run Time (sec): 6241.420082330704
=== SCORES ===
M0P0	0.12087469667456255	1
M0P1	0.11879782287514119	2
N3	0.0028382070595097584	3
N0	0.002459568411818551	4
N12	0.002149790685039424	5
N4	0.001718361338305823	6
N10	0.0014017551566731078	7
N11	0.0010680391176171981	8
N9	0.0010422211902476343	9
N8	0.0009968700557861489	10
N7	0.0009703397969715973	11
N15	0.0009438078638812241	12
N13	0.0008998075521334548	13
N1	0.0008952686259964795	14
N5	0.0008709440948551907	15
N2	0.000522335056403921	16
N6	0.0004429314329471127	17
N17	0.00033566677510876887	18
N16	-0.00010720330402975121	19
N14	-0.0001796908231907825	20
