vls Analysis Completed with REBATE
Run Time (sec): 273.78035593032837
=== SCORES ===
M0P1	0.15689917450495894	1
M0P0	0.1450370322002476	2
N17	0.014097486159076224	3
N15	0.012360639982807307	4
N6	0.008881384041483097	5
N12	0.007902550994962863	6
N16	0.006835567592743034	7
N4	0.006429990784086066	8
N8	0.0064263426208853395	9
N9	0.006306528217983361	10
N11	0.006279974052757566	11
N7	0.005056611166514194	12
N5	0.004472298028086145	13
N0	0.0041697017859412865	14
N14	0.0031317311973485065	15
N3	0.0019518888141368555	16
N1	0.0019029685329543797	17
N13	0.0016634804983810781	18
N2	0.001660786949543966	19
N10	-0.0011027583892946867	20
