turf Analysis Completed with REBATE
Run Time (sec): 40.74516701698303
=== SCORES ===
M0P1	0.15179107427487298	1
M0P0	0.14893530815605	2
N4	-0.042472562623047605	3
N9	-0.0672402849980358	4
N1	-0.09748328784974393	5
N0	-0.0999760314709901	6
N8	-0.0999760314709901	7
N15	-0.0999760314709901	8
N16	-0.0999760314709901	9
N17	-0.0999760314709901	10
N2	-0.10246877509223627	11
N3	-0.10246877509223627	12
N5	-0.10246877509223627	13
N6	-0.10246877509223627	14
N7	-0.10246877509223627	15
N10	-0.10246877509223627	16
N11	-0.10246877509223627	17
N12	-0.10246877509223627	18
N13	-0.10246877509223627	19
N14	-0.10246877509223627	20
