vls Analysis Completed with REBATE
Run Time (sec): 273.23784351348877
=== SCORES ===
M0P1	0.052530439899878045	1
M0P0	0.050136068898148645	2
M1P0	0.04579265109602064	3
M1P1	0.044095848557985526	4
N12	0.002908892054236608	5
N2	0.0027616274465177594	6
N5	0.0024115992953594643	7
N9	0.0021418526272091727	8
N6	0.002125017017444392	9
N10	0.001365650305051331	10
N0	0.0012112923082439955	11
N4	0.0007200618252423943	12
N8	0.0004964931721066951	13
N3	0.0004893831139695685	14
N7	0.00048231930847207887	15
N11	0.00041186848501174596	16
N13	5.830217123350779e-05	17
N15	4.87380618305832e-05	18
N1	-0.00021951066210114536	19
N14	-0.0002978926373209361	20
