turf Analysis Completed with REBATE
Run Time (sec): 35.93282961845398
=== SCORES ===
M1P1	0.04239107079331691	1
M1P0	0.04220925049448458	2
M0P1	0.04096681077288394	3
M0P0	0.029699294994008554	4
N4	-0.05263878957883406	5
N6	-0.053589088182555575	6
N8	-0.053589088182555575	7
N11	-0.053589088182555575	8
N12	-0.053589088182555575	9
N14	-0.053589088182555575	10
N0	-0.05453938678627708	11
N1	-0.05453938678627708	12
N2	-0.05453938678627708	13
N3	-0.05453938678627708	14
N5	-0.05453938678627708	15
N7	-0.05453938678627708	16
N9	-0.05453938678627708	17
N10	-0.05453938678627708	18
N13	-0.05453938678627708	19
N15	-0.05453938678627708	20
