turf Analysis Completed with REBATE
Run Time (sec): 36.2400541305542
=== SCORES ===
M0P1	0.020745423233779123	1
M1P1	0.01817901519110286	2
M1P0	0.014504673963522254	3
M0P0	0.012350124922794633	4
N3	-0.004439327403943136	5
N7	-0.004691174910320358	6
N10	-0.004691174910320358	7
N12	-0.004691174910320358	8
N13	-0.004691174910320358	9
N14	-0.004691174910320358	10
N0	-0.004943022416697581	11
N1	-0.004943022416697581	12
N2	-0.004943022416697581	13
N4	-0.004943022416697581	14
N5	-0.004943022416697581	15
N6	-0.004943022416697581	16
N8	-0.004943022416697581	17
N9	-0.004943022416697581	18
N11	-0.004943022416697581	19
N15	-0.004943022416697581	20
