turf Analysis Completed with REBATE
Run Time (sec): 483.6657931804657
=== SCORES ===
M0P0	0.0847430982476082	1
M0P1	0.08173706126925967	2
N1	-0.0064091828397517155	3
N7	-0.02537287505880918	4
N5	-0.03673393440116605	5
N0	-0.03794870472765379	6
N3	-0.03794870472765379	7
N8	-0.03794870472765379	8
N9	-0.03794870472765379	9
N10	-0.03794870472765379	10
N2	-0.039163475054141535	11
N4	-0.039163475054141535	12
N6	-0.039163475054141535	13
N11	-0.039163475054141535	14
N12	-0.039163475054141535	15
N13	-0.039163475054141535	16
N14	-0.039163475054141535	17
N15	-0.039163475054141535	18
N16	-0.039163475054141535	19
N17	-0.039163475054141535	20
